id,title,type,genres,averageRating,numVotes,releaseYear
tt0211915,Amélie,movie,"Comedy, Romance",8.3,817084.0,2001.0
tt0211933,Awake,movie,"Crime, Drama, Mystery",6.5,83203.0,2007.0
tt0211946,Berlin Calling,movie,"Comedy, Drama, Music",7.2,15526.0,2008.0
tt0212338,Meet the Parents,movie,"Comedy, Romance",7.0,367425.0,2000.0
tt0212346,Miss Congeniality,movie,"Action, Comedy, Crime",6.3,239594.0,2000.0
tt0212380,Blow Dry,movie,"Comedy, Drama, Romance",6.2,9406.0,2001.0
tt0212712,2046,movie,"Drama, Romance, Sci-Fi",7.4,63741.0,2004.0
tt0212720,A.I. Artificial Intelligence,movie,"Adventure, Drama, Sci-Fi",7.2,330855.0,2001.0
tt0212815,Big Eden,movie,"Comedy, Drama, Romance",7.3,5160.0,2000.0
tt0212826,Bread and Roses,movie,Drama,7.0,6256.0,2000.0
tt0212830,Bruiser,movie,"Horror, Mystery",5.3,6775.0,2000.0
tt0212879,Citizen Toxie: The Toxic Avenger IV,movie,"Action, Comedy, Fantasy",5.9,6480.0,2000.0
tt0212985,Hannibal,movie,"Crime, Drama, Thriller",6.8,303929.0,2001.0
tt0213149,Pearl Harbor,movie,"Action, Drama, Romance",6.2,360791.0,2001.0
tt0213203,Rugrats in Paris,movie,"Adventure, Animation, Comedy",6.2,14090.0,2000.0
tt0213790,The Ladies Man,movie,Comedy,5.2,14126.0,2000.0
tt0213847,Malena,movie,"Drama, Romance, War",7.4,118975.0,2000.0
tt0213890,Mohabbatein,movie,"Drama, Musical, Romance",7.0,35078.0,2000.0
tt0214388,100 Girls,movie,"Comedy, Romance",5.8,24129.0,2000.0
tt0214529,Belphegor: Phantom of the Louvre,movie,"Fantasy, Horror, Mystery",4.5,5307.0,2001.0
tt0215129,Road Trip,movie,Comedy,6.5,183216.0,2000.0
tt0215545,Bamboozled,movie,"Comedy, Drama, Music",6.7,12697.0,2000.0
tt0215750,Enemy at the Gates,movie,"Action, Drama, War",7.5,285445.0,2001.0
tt0216216,The 6th Day,movie,"Action, Mystery, Sci-Fi",5.9,130667.0,2000.0
tt0216625,Code Unknown,movie,Drama,7.1,15789.0,2000.0
tt0216651,Vampire Hunter D: Bloodlust,movie,"Action, Animation, Drama",7.6,38323.0,2000.0
tt0216787,The Taste of Others,movie,"Comedy, Drama, Romance",7.2,10740.0,2000.0
tt0216799,Harrison's Flowers,movie,"Drama, Romance, War",7.0,6956.0,2000.0
tt0216800,With a Friend Like Harry...,movie,"Comedy, Drama, Mystery",7.1,12194.0,2000.0
tt0217505,Gangs of New York,movie,"Crime, Drama",7.5,487734.0,2002.0
tt0217630,Loser,movie,"Comedy, Romance",5.3,31117.0,2000.0
tt0217756,Ready to Rumble,movie,"Comedy, Sport",5.4,15818.0,2000.0
tt0217869,Unbreakable,movie,"Drama, Mystery, Sci-Fi",7.3,455923.0,2000.0
tt0218378,The Claim,movie,"Drama, Romance, Western",6.3,6939.0,2000.0
tt0218619,Soul Survivors,movie,"Horror, Mystery, Thriller",3.9,9926.0,2001.0
tt0218817,Antitrust,movie,"Action, Crime, Drama",6.1,30837.0,2001.0
tt0218839,Best in Show,movie,Comedy,7.5,69450.0,2000.0
tt0218864,Buying the Cow,movie,"Comedy, Romance",5.8,7735.0,2002.0
tt0218922,Original Sin,movie,"Crime, Drama, Mystery",6.0,61734.0,2001.0
tt0218967,The Family Man,movie,"Comedy, Drama, Fantasy",6.8,125935.0,2000.0
tt0219400,Waking Up in Reno,movie,"Comedy, Romance",5.5,6420.0,2002.0
tt0219653,Dracula 2000,movie,"Action, Fantasy, Horror",4.9,37709.0,2000.0
tt0219822,Human Nature,movie,"Comedy, Drama",6.4,19313.0,2001.0
tt0219952,Lucky Numbers,movie,"Comedy, Crime",5.1,11135.0,2000.0
